Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
2023-01-01,Data Analyst,MI,FT,150000,US,US,M,100,USD,150000.0,150000.0
2023-01-01,Data Analyst,MI,FT,150000,US,US,M,0,USD,150000.0,150000.0
2023-01-01,Data Analyst,SE,FT,146200,US,US,M,0,USD,146200.0,146200.0
2023-01-01,Data Analyst,SE,FT,146190,US,US,M,0,USD,146190.0,146190.0
2023-01-01,Data Analyst,SE,FT,146850,US,US,M,0,USD,146850.0,146850.0
2023-01-01,Data Analyst,SE,FT,147000,US,US,M,100,USD,147000.0,147000.0
2023-01-01,Data Analyst,SE,FT,145640,US,US,M,0,USD,145640.0,145640.0
2023-01-01,Data Analyst,SE,FT,145500,US,US,M,0,USD,145500.0,145500.0
2023-01-01,Data Analyst,MI,FT,149500,US,US,M,100,USD,149500.0,149500.0
2023-01-01,Data Analyst,SE,FT,149500,US,US,M,100,USD,149500.0,149500.0
2023-01-01,Data Analyst,SE,FT,149200,CA,CA,M,100,USD,149200.0,149200.0
2023-01-01,Data Analyst,MI,FT,149000,US,US,M,0,USD,149000.0,149000.0
2023-01-01,Data Analyst,MI,FT,147600,US,US,M,0,USD,147600.0,147600.0
2023-01-01,Data Analyst,SE,FT,148000,US,US,M,0,USD,148000.0,148000.0
2023-01-01,Data Analyst,SE,FT,148700,US,US,M,0,USD,148700.0,148700.0
2023-01-01,Data Analyst,SE,FT,148500,US,US,M,0,USD,148500.0,148500.0
2023-01-01,Data Analyst,SE,FT,135000,US,US,M,100,USD,135000.0,135000.0
2023-01-01,Data Analyst,SE,FT,135000,US,US,M,0,USD,135000.0,135000.0
2023-01-01,Data Analyst,SE,FT,135000,CA,CA,M,100,USD,135000.0,135000.0
2023-01-01,Data Analyst,SE,FT,134200,US,US,M,0,USD,134200.0,134200.0
2023-01-01,Data Analyst,SE,FT,134200,GB,GB,M,0,USD,134200.0,134200.0
2023-01-01,Data Analyst,MI,FT,134000,US,US,M,100,USD,134000.0,134000.0
2023-01-01,Data Analyst,SE,FT,134500,US,US,M,100,USD,134500.0,134500.0
2023-01-01,Data Analyst,MI,FT,135000,US,US,M,0,USD,135000.0,135000.0
2023-01-01,Data Analyst,SE,FT,136000,US,US,M,100,USD,136000.0,136000.0
2023-01-01,Data Analyst,SE,FT,134000,US,US,M,100,USD,134000.0,134000.0
2023-01-01,Data Analyst,MI,FT,131000,US,US,M,0,USD,131000.0,131000.0
2023-01-01,Data Analyst,SE,FT,131000,US,US,M,0,USD,131000.0,131000.0
2023-01-01,Data Analyst,SE,FT,131325,US,US,M,100,USD,131325.0,131325.0
2023-01-01,Data Analyst,SE,FT,132000,US,US,M,0,USD,132000.0,132000.0
2023-01-01,Data Analyst,SE,FT,132000,US,US,M,100,USD,132000.0,132000.0
2023-01-01,Data Analyst,SE,FT,131712,US,US,M,0,USD,131712.0,131712.0
2023-01-01,Data Analyst,SE,FT,131685,GB,GB,M,0,USD,131685.0,131685.0
2023-01-01,Data Analyst,SE,FT,131650,US,US,M,0,USD,131650.0,131650.0
2023-01-01,Data Analyst,MI,FT,131650,US,US,M,0,USD,131650.0,131650.0
2023-01-01,Data Analyst,EN,FT,131600,US,US,M,100,USD,131600.0,131600.0
2023-01-01,Data Analyst,MI,FT,130100,US,US,M,0,USD,130100.0,130100.0
2023-01-01,Data Analyst,MI,FT,133000,US,US,M,0,USD,133000.0,133000.0
2023-01-01,Data Analyst,EN,FT,133000,US,US,M,0,USD,133000.0,133000.0
2023-01-01,Data Analyst,SE,FT,133300,US,US,M,0,USD,133300.0,133300.0
2023-01-01,Data Analyst,SE,FT,133300,US,US,M,100,USD,133300.0,133300.0
2023-01-01,Data Analyst,EN,FT,132000,US,US,M,0,USD,132000.0,132000.0
2023-01-01,Data Analyst,SE,FT,132500,US,US,M,100,USD,132500.0,132500.0
2023-01-01,Data Analyst,SE,FT,133000,US,US,M,100,USD,133000.0,133000.0
2023-01-01,Data Analyst,EN,FT,132600,US,US,M,100,USD,132600.0,132600.0
2023-01-01,Data Analyst,SE,FT,140000,US,US,M,0,USD,140000.0,140000.0
2023-01-01,Data Analyst,SE,FT,140000,US,US,M,100,USD,140000.0,140000.0
2023-01-01,Data Analyst,SE,FT,140000,GB,GB,M,100,USD,140000.0,140000.0
2023-01-01,Data Analyst,SE,FT,139600,US,US,M,0,USD,139600.0,139600.0
2023-01-01,Data Analyst,SE,FT,136505,US,US,M,100,USD,136505.0,136505.0
2023-01-01,Data Analyst,SE,FT,138000,US,US,M,100,USD,138000.0,138000.0
2023-01-01,Data Analyst,SE,FT,137000,US,US,M,100,USD,137000.0,137000.0
2023-01-01,Data Analyst,EN,FT,137500,US,US,M,0,USD,137500.0,137500.0
2023-01-01,Data Analyst,SE,FT,137500,US,US,M,0,USD,137500.0,137500.0
2023-01-01,Data Analyst,SE,FT,138000,US,US,M,0,USD,138000.0,138000.0
2023-01-01,Data Analyst,SE,FT,139000,US,US,M,0,USD,139000.0,139000.0
2023-01-01,Data Analyst,SE,FT,138900,US,US,M,0,USD,138900.0,138900.0
2023-01-01,Data Analyst,SE,FT,138240,US,US,M,100,USD,138240.0,138240.0
2023-01-01,Data Analyst,SE,FT,138860,US,US,M,0,USD,138860.0,138860.0
2023-01-01,Data Analyst,SE,FT,138800,US,US,M,0,USD,138800.0,138800.0
2023-01-01,Data Analyst,SE,FT,75000,US,US,M,0,USD,75000.0,75000.0
2023-01-01,Data Analyst,SE,FT,75000,US,US,M,100,USD,75000.0,75000.0
2023-01-01,Data Analyst,SE,FT,75000,GB,GB,M,0,GBP,92280.0,75000.0
2023-01-01,Data Analyst,MI,FT,75000,GB,GB,M,0,GBP,92280.0,75000.0
2023-01-01,Data Analyst,MI,FT,75000,US,US,M,0,USD,75000.0,75000.0
2023-01-01,Data Analyst,EN,FT,75000,US,US,M,0,USD,75000.0,75000.0
2023-01-01,Data Analyst,MI,FT,75000,US,US,M,100,USD,75000.0,75000.0
2023-01-01,Data Analyst,EN,FT,75000,US,US,M,100,USD,75000.0,75000.0
2023-01-01,Data Analyst,EN,FT,75000,GB,GB,M,0,GBP,92280.0,75000.0
2023-01-01,Data Analyst,EN,FT,79350,US,US,M,100,USD,79350.0,79350.0
2023-01-01,Data Analyst,SE,FT,79000,US,US,M,0,USD,79000.0,79000.0
2023-01-01,Data Analyst,MI,FT,79000,US,US,M,0,USD,79000.0,79000.0
2023-01-01,Data Analyst,SE,FT,78400,US,US,L,100,USD,78400.0,78400.0
2023-01-01,Data Analyst,SE,FT,78000,CA,CA,M,100,USD,78000.0,78000.0
2023-01-01,Data Analyst,SE,FT,78000,US,US,M,100,USD,78000.0,78000.0
2023-01-01,Data Analyst,MI,FT,78000,US,US,M,0,USD,78000.0,78000.0
2023-01-01,Business Data Analyst,SE,FT,78000,US,US,L,100,USD,78000.0,78000.0
2023-01-01,Data Analyst,EN,FT,75065,US,US,M,100,USD,75065.0,75065.0
2023-01-01,Data Analyst,SE,FT,78000,US,US,M,0,USD,78000.0,78000.0
2023-01-01,Data Analyst,EN,PT,78000,PL,IN,L,100,PLN,18160.0,78000.0
2023-01-01,Data Analyst,SE,FT,77000,US,US,M,0,USD,77000.0,77000.0
2023-01-01,Data Analyst,SE,FT,76000,US,US,M,0,USD,76000.0,76000.0
2023-01-01,Data Analyst,MI,FT,74800,US,US,M,0,USD,74800.0,74800.0
2023-01-01,Data Analyst,MI,FT,70600,US,US,M,0,USD,70600.0,70600.0
2023-01-01,Data Analyst,SE,FT,70374,US,US,M,0,USD,70374.0,70374.0
2023-01-01,Data Analyst,MI,FT,70000,PH,PH,M,0,USD,70000.0,70000.0
2023-01-01,Data Analyst,MI,FT,70000,US,US,M,100,USD,70000.0,70000.0
2023-01-01,Data Analyst,MI,FT,70900,US,US,M,0,USD,70900.0,70900.0
2023-01-01,Data Analyst,MI,FT,72000,US,US,M,0,USD,72000.0,72000.0
2023-01-01,Data Analyst,EN,FT,71615,US,US,M,0,USD,71615.0,71615.0
2023-01-01,Data Analyst,EX,FT,70000,US,US,M,0,USD,70000.0,70000.0
2023-01-01,Data Analyst,SE,FT,70000,US,US,M,0,USD,70000.0,70000.0
2023-01-01,Data Analyst,MI,FT,70000,GB,GB,L,50,GBP,86128.0,70000.0
2023-01-01,Data Analyst,MI,FT,70000,US,US,M,0,USD,70000.0,70000.0
2023-01-01,Data Analyst,SE,FT,70000,US,US,M,100,USD,70000.0,70000.0
2023-01-01,Data Analyst,EX,FT,70000,US,US,M,100,USD,70000.0,70000.0
2023-01-01,Data Analyst,SE,FT,72000,US,US,M,100,USD,72000.0,72000.0
2023-01-01,Data Analyst,SE,FT,73500,US,US,M,100,USD,73500.0,73500.0
2023-01-01,Data Analyst,SE,FT,74400,US,US,M,100,USD,74400.0,74400.0
2023-01-01,Data Analyst,SE,FT,74400,US,US,M,0,USD,74400.0,74400.0
2023-01-01,Data Analyst,EN,FT,74300,US,US,M,100,USD,74300.0,74300.0
2023-01-01,Data Analyst,SE,FT,74178,US,US,M,0,USD,74178.0,74178.0
2023-01-01,Data Analyst,EN,FT,72500,US,US,M,0,USD,72500.0,72500.0
2023-01-01,Data Analyst,MI,FT,72400,GB,GB,M,0,USD,72400.0,72400.0
2023-01-01,Data Analyst,SE,FT,72250,US,US,M,100,USD,72250.0,72250.0
2023-01-01,Data Analyst,SE,FT,80000,US,US,M,100,USD,80000.0,80000.0
2023-01-01,Data Analyst,SE,FT,73100,US,US,M,0,USD,73100.0,73100.0
2023-01-01,Data Analyst,MI,FT,73100,US,US,M,0,USD,73100.0,73100.0
2023-01-01,Data Analyst,SE,FT,73000,US,US,M,0,USD,73000.0,73000.0
2023-01-01,Data Analyst,MI,FT,80000,US,US,M,0,USD,80000.0,80000.0
2023-01-01,Data Analyst,SE,FT,85000,US,US,M,100,USD,85000.0,85000.0
2023-01-01,Data Analyst,SE,FT,85000,US,US,M,0,USD,85000.0,85000.0
2023-01-01,Data Analyst,MI,FT,85000,US,US,M,0,USD,85000.0,85000.0
2023-01-01,Data Analyst,EN,FT,85000,US,US,M,100,USD,85000.0,85000.0
2023-01-01,BI Data Analyst,EN,FT,85000,CA,US,M,100,USD,85000.0,85000.0
2023-01-01,Data Analyst,SE,FT,84400,US,US,M,0,USD,84400.0,84400.0
2023-01-01,Data Analyst,SE,FT,84000,CO,CO,M,100,USD,84000.0,84000.0
2023-01-01,Data Analyst,SE,FT,84870,US,US,M,0,USD,84870.0,84870.0
2023-01-01,Data Analyst,MI,FT,87500,US,US,M,100,USD,87500.0,87500.0
2023-01-01,Data Analyst,SE,FT,87500,US,US,M,0,USD,87500.0,87500.0
2023-01-01,Data Analyst,SE,FT,87000,US,US,M,100,USD,87000.0,87000.0
2023-01-01,Data Analyst,SE,FT,86720,US,US,M,100,USD,86720.0,86720.0
2023-01-01,Data Analyst,SE,FT,86600,US,US,M,100,USD,86600.0,86600.0
2023-01-01,Data Analyst,EX,FT,87500,US,US,M,0,USD,87500.0,87500.0
2023-01-01,Data Analyst,SE,FT,89100,US,US,M,100,USD,89100.0,89100.0
2023-01-01,Data Analyst,EN,FT,89030,US,US,M,0,USD,89030.0,89030.0
2023-01-01,Data Analyst,SE,FT,89000,US,US,M,0,USD,89000.0,89000.0
2023-01-01,Data Analyst,EN,FT,88200,US,US,M,100,USD,88200.0,88200.0
2023-01-01,Data Analyst,SE,FT,88052,US,US,M,100,USD,88052.0,88052.0
2023-01-01,Data Analyst,SE,FT,88000,US,US,M,100,USD,88000.0,88000.0
2023-01-01,Data Analyst,MI,FT,88000,US,US,M,0,USD,88000.0,88000.0
2023-01-01,Data Analyst,SE,FT,86466,US,US,M,100,USD,86466.0,86466.0
2023-01-01,Data Analyst,SE,FT,85500,US,US,M,0,USD,85500.0,85500.0
2023-01-01,Data Analyst,EN,FT,85256,US,US,M,0,USD,85256.0,85256.0
2023-01-01,Data Analyst,MI,FT,85000,US,US,M,100,USD,85000.0,85000.0
2023-01-01,Data Analyst,SE,FT,85700,US,US,M,0,USD,85700.0,85700.0
2023-01-01,Data Analyst,MI,FT,86400,US,US,M,0,USD,86400.0,86400.0
2023-01-01,Data Analyst,EN,FT,86000,US,US,M,0,USD,86000.0,86000.0
2023-01-01,Data Analyst,EN,FT,86500,US,US,L,0,USD,86500.0,86500.0
2023-01-01,Data Analyst,SE,FT,83700,US,US,M,100,USD,83700.0,83700.0
2023-01-01,Data Analyst,SE,FT,80000,US,US,M,0,USD,80000.0,80000.0
2023-01-01,Data Analyst,MI,FT,80000,US,US,M,100,USD,80000.0,80000.0
2023-01-01,Data Analyst,EN,FT,80000,US,US,M,0,USD,80000.0,80000.0
2023-01-01,Data Analyst,EN,FT,80000,US,US,M,100,USD,80000.0,80000.0
2023-01-01,Data Analyst,SE,FT,80000,PL,PL,M,100,USD,80000.0,80000.0
2023-01-01,Data Analyst,MI,FT,80000,GB,GB,M,0,GBP,98432.0,80000.0
2023-01-01,Data Analyst,SE,FT,80000,US,US,S,100,USD,80000.0,80000.0
2023-01-01,Data Analyst,EX,FT,80000,US,US,M,0,USD,80000.0,80000.0
2023-01-01,Data Analyst,SE,FT,82500,US,US,M,100,USD,82500.0,82500.0
2023-01-01,Data Analyst,EN,FT,82400,US,US,M,100,USD,82400.0,82400.0
2023-01-01,Data Analyst,SE,FT,82200,US,US,M,100,USD,82200.0,82200.0
2023-01-01,Data Analyst,SE,FT,82000,US,US,M,0,USD,82000.0,82000.0
2023-01-01,Data Analyst,SE,FT,81900,US,US,M,0,USD,81900.0,81900.0
2023-01-01,Data Analyst,SE,FT,82500,US,US,M,0,USD,82500.0,82500.0
2023-01-01,Data Analyst,MI,FT,83500,US,US,M,100,USD,83500.0,83500.0
2023-01-01,Data Analyst,SE,FT,83376,GB,GB,M,0,GBP,102586.0,83376.0
2023-01-01,Data Analyst,EN,FT,83300,US,US,M,0,USD,83300.0,83300.0
2023-01-01,Product Data Analyst,EN,CT,83200,US,US,S,50,USD,83200.0,83200.0
2023-01-01,Data Analyst,EN,FT,83000,US,US,M,0,USD,83000.0,83000.0
2023-01-01,Data Analyst,MI,FT,83000,US,US,M,100,USD,83000.0,83000.0
2023-01-01,Data Analyst,SE,FT,83000,US,US,M,100,USD,83000.0,83000.0
2023-01-01,Data Analyst,SE,FT,81900,US,US,M,100,USD,81900.0,81900.0
2023-01-01,Data Analyst,SE,FT,80850,US,US,M,0,USD,80850.0,80850.0
2023-01-01,Data Analyst,EN,FT,80800,US,US,M,0,USD,80800.0,80800.0
2023-01-01,Data Analyst,EN,FT,81500,US,US,M,100,USD,81500.0,81500.0
2023-01-01,Data Analyst,SE,FT,81800,US,US,M,0,USD,81800.0,81800.0
2023-01-01,Data Analyst,SE,FT,81800,GB,GB,M,0,USD,81800.0,81800.0
2023-01-01,Data Analyst,SE,FT,81666,US,US,M,100,USD,81666.0,81666.0
2023-01-01,Data Analyst,EN,FT,47840,US,US,M,0,USD,47840.0,47840.0
2023-01-01,Data Analyst,EN,FT,47500,US,US,M,0,USD,47500.0,47500.0
2023-01-01,Data Analyst,MI,FT,46500,US,US,M,0,USD,46500.0,46500.0
2023-01-01,Data Analyst,SE,FT,46200,US,US,M,0,USD,46200.0,46200.0
2023-01-01,Data Analyst,MI,FT,49000,US,US,M,0,USD,49000.0,49000.0
2023-01-01,Data Analyst,EN,FT,48000,US,US,M,0,GBP,59059.0,48000.0
2023-01-01,Data Analyst,MI,FT,48000,US,US,M,100,USD,48000.0,48000.0
2023-01-01,Data Analyst,EN,FT,48000,US,US,M,0,USD,48000.0,48000.0
2023-01-01,Data Analyst,SE,FT,48000,ES,ES,M,100,EUR,51824.0,48000.0
2023-01-01,Data Analyst,SE,FT,48000,ES,ES,M,0,EUR,51824.0,48000.0
2023-01-01,Data Analyst,MI,FT,45000,GB,GB,M,0,GBP,55368.0,45000.0
2023-01-01,Data Analyst,SE,FT,45000,CF,CF,M,100,GBP,55368.0,45000.0
2023-01-01,Data Analyst,EN,FT,44000,GB,GB,M,0,GBP,54137.0,44000.0
2023-01-01,Data Analyst,MI,FT,45000,GB,GB,M,100,GBP,55368.0,45000.0
2023-01-01,Data Analyst,MI,FT,45000,PT,PT,M,100,EUR,48585.0,45000.0
2023-01-01,Data Analyst,MI,FT,49200,EE,EE,M,0,EUR,53120.0,49200.0
2023-01-01,Data Analyst,SE,FT,51962,US,US,M,0,USD,51962.0,51962.0
2023-01-01,Data Analyst,SE,FT,51962,US,US,M,100,USD,51962.0,51962.0
2023-01-01,Data Analyst,SE,FT,51000,US,US,M,0,USD,51000.0,51000.0
2023-01-01,Admin & Data Analyst,EN,FT,50000,DE,DE,M,0,USD,50000.0,50000.0
2023-01-01,Data Analyst,MI,FT,50000,US,US,M,0,USD,50000.0,50000.0
2023-01-01,Data Analyst,EN,FT,50000,US,US,M,0,USD,50000.0,50000.0
2023-01-01,Data Analyst,MI,FT,52500,US,US,M,100,USD,52500.0,52500.0
2023-01-01,Data Analyst,SE,FT,52500,US,US,M,0,USD,52500.0,52500.0
2023-01-01,Data Analyst,MI,FT,52500,US,US,M,0,USD,52500.0,52500.0
2023-01-01,Data Analyst,MI,FT,52100,US,US,M,0,USD,52100.0,52100.0
2023-01-01,Data Analyst,SE,FT,52000,US,US,M,0,USD,52000.0,52000.0
2023-01-01,Data Analyst,SE,FT,52000,ES,ES,M,100,EUR,56143.0,52000.0
2023-01-01,Data Analyst,EN,FT,50000,GB,GB,M,0,GBP,61520.0,50000.0
2023-01-01,Data Analyst,SE,FT,49200,EE,EE,M,0,EUR,53120.0,49200.0
2023-01-01,Data Analyst,MI,FT,50000,US,US,M,100,USD,50000.0,50000.0
2023-01-01,Data Analyst,EN,FT,50000,US,US,M,100,USD,50000.0,50000.0
2023-01-01,Data Analyst,MI,FT,50000,GB,GB,M,0,GBP,61520.0,50000.0
2023-01-01,Data Analyst,EN,FT,50000,KW,US,L,50,USD,50000.0,50000.0
2023-01-01,Data Analyst,SE,FT,50000,GB,GB,M,0,GBP,61520.0,50000.0
2023-01-01,BI Data Analyst,EN,FT,50000,KE,KE,S,100,USD,50000.0,50000.0
2023-01-01,Data Analyst,MI,FT,43000,SI,SI,M,0,EUR,46426.0,43000.0
2023-01-01,Data Analyst,MI,FT,42400,US,US,M,0,USD,42400.0,42400.0
2023-01-01,Data Analyst,SE,FT,35000,CF,CF,M,100,GBP,43064.0,35000.0
2023-01-01,Data Analyst,EN,FT,34160,AU,AU,M,0,GBP,42030.0,34160.0
2023-01-01,Data Analyst,EN,FT,34000,GB,GB,M,0,GBP,41833.0,34000.0
2023-01-01,Data Analyst,MI,FT,35000,GB,GB,M,0,GBP,43064.0,35000.0
2023-01-01,Data Analyst,EN,FT,33995,GB,GB,M,0,GBP,41827.0,33995.0
2023-01-01,Data Analyst,MI,FT,31200,EE,EE,M,0,EUR,33686.0,31200.0
2023-01-01,Data Analyst,EN,FT,30839,GB,GB,M,0,GBP,37944.0,30839.0
2023-01-01,Data Analyst,EN,FT,35700,GB,GB,M,0,GBP,43925.0,35700.0
2023-01-01,Business Data Analyst,MI,CT,35000,PH,US,M,100,USD,35000.0,35000.0
2023-01-01,Data Analyst,EN,FT,35000,GB,GB,M,0,GBP,43064.0,35000.0
2023-01-01,Data Analyst,SE,FT,30000,GB,GB,S,100,GBP,36912.0,30000.0
2023-01-01,Data Analyst,EN,FT,23000,GB,GB,M,0,GBP,28299.0,23000.0
2023-01-01,Business Data Analyst,EN,FT,20000,ES,ES,M,0,EUR,21593.0,20000.0
2023-01-01,Data Analyst Lead,EN,FT,18000,NG,NG,S,100,USD,18000.0,18000.0
2023-01-01,Business Data Analyst,MI,FT,17000,AM,RU,L,100,USD,17000.0,17000.0
2023-01-01,BI Data Analyst,EN,FT,25000,UA,NL,M,100,USD,25000.0,25000.0
2023-01-01,Compliance Data Analyst,EN,FT,30000,NG,NG,L,100,USD,30000.0,30000.0
2023-01-01,Data Analyst,EN,FT,30000,IN,IN,M,50,USD,30000.0,30000.0
2023-01-01,Data Analyst,EN,FT,30000,AR,US,S,100,USD,30000.0,30000.0
2023-01-01,Data Analyst,EN,FT,27000,GB,GB,M,0,GBP,33220.0,27000.0
2023-01-01,Data Analyst,EN,FT,26800,GB,GB,M,0,GBP,32974.0,26800.0
2023-01-01,Data Analyst,EN,FT,25000,GR,GB,S,100,EUR,26992.0,25000.0
2023-01-01,Data Analyst,MI,FT,40000,GB,GB,M,0,GBP,49216.0,40000.0
2023-01-01,Data Analyst,MI,FT,40000,PT,PT,M,100,EUR,43187.0,40000.0
2023-01-01,Data Analyst,EN,FT,40000,GB,GB,M,0,GBP,49216.0,40000.0
2023-01-01,Finance Data Analyst,EN,FT,40000,NG,NG,S,0,USD,40000.0,40000.0
2023-01-01,Data Analyst,EN,FT,40000,US,US,M,100,USD,40000.0,40000.0
2023-01-01,Data Analyst,EN,FT,41419,US,US,M,100,USD,41419.0,41419.0
2023-01-01,Data Analyst,EN,FT,40400,US,US,L,0,USD,40400.0,40400.0
2023-01-01,Data Analyst,MI,FT,36000,EE,EE,M,0,EUR,38868.0,36000.0
2023-01-01,Data Analyst,MI,FT,36000,US,US,M,100,USD,36000.0,36000.0
2023-01-01,Data Analyst,SE,FT,36000,EE,EE,M,0,EUR,38868.0,36000.0
2023-01-01,Business Data Analyst,MI,FL,36000,GH,GH,S,0,USD,36000.0,36000.0
2023-01-01,Data Analyst,MI,FT,36000,GB,GB,M,100,GBP,44294.0,36000.0
2023-01-01,Data Analyst,MI,FT,36000,SI,SI,M,0,EUR,38868.0,36000.0
2023-01-01,Data Analyst,EN,FT,39000,US,US,M,0,GBP,47985.0,39000.0
2023-01-01,Data Analyst,MI,FT,39000,DE,DE,M,50,EUR,42107.0,39000.0
2023-01-01,Data Analyst,EN,FT,38393,AU,AU,M,0,GBP,47238.0,38393.0
2023-01-01,Data Analyst,MI,FT,38000,GB,GB,M,0,GBP,46755.0,38000.0
2023-01-01,Data Analyst,SE,FT,38000,ES,ES,M,0,EUR,41027.0,38000.0
2023-01-01,Data Analyst,MI,FT,36050,GB,GB,M,100,GBP,44356.0,36050.0
2023-01-01,Data Analyst,MI,FT,36050,GB,GB,M,0,GBP,44356.0,36050.0
2023-01-01,Data Analyst,SE,FT,65000,US,US,M,0,USD,65000.0,65000.0
2023-01-01,Data Analyst,MI,FT,65000,US,US,M,100,USD,65000.0,65000.0
2023-01-01,Data Analyst,MI,FT,65000,GB,GB,M,100,GBP,79976.0,65000.0
2023-01-01,Data Analyst,MI,FT,65000,GB,GB,M,0,GBP,79976.0,65000.0
2023-01-01,Business Data Analyst,SE,FT,65000,ES,GI,L,100,GBP,79976.0,65000.0
2023-01-01,Data Analyst,SE,FT,65000,US,US,M,100,USD,65000.0,65000.0
2023-01-01,Data Analyst,MI,FT,65000,US,US,M,0,USD,65000.0,65000.0
2023-01-01,Data Analyst,EN,FT,65000,GB,GB,M,0,GBP,79976.0,65000.0
2023-01-01,Data Analyst,SE,FT,62000,US,US,M,0,USD,62000.0,62000.0
2023-01-01,Data Analyst,MI,FT,61800,US,US,M,100,USD,61800.0,61800.0
2023-01-01,Data Analyst,EN,FT,61800,US,US,M,100,USD,61800.0,61800.0
2023-01-01,Data Analyst,EN,FT,61200,US,US,M,0,USD,61200.0,61200.0
2023-01-01,Data Analyst,MI,FT,61200,US,US,M,0,USD,61200.0,61200.0
2023-01-01,Data Analyst,EN,FT,60000,US,US,M,0,USD,60000.0,60000.0
2023-01-01,Data Analyst,EN,FT,64200,US,US,M,100,USD,64200.0,64200.0
2023-01-01,Data Analyst,EN,FT,64000,US,US,M,0,USD,64000.0,64000.0
2023-01-01,Data Analyst,SE,FT,64000,US,US,M,100,USD,64000.0,64000.0
2023-01-01,Data Analyst,MI,FT,63600,US,US,M,0,USD,63600.0,63600.0
2023-01-01,Data Analyst,MI,FT,62500,US,US,M,100,USD,62500.0,62500.0
2023-01-01,Data Analyst,MI,FT,62000,US,US,M,0,USD,62000.0,62000.0
2023-01-01,Data Analyst,MI,FT,64500,US,US,M,0,USD,64500.0,64500.0
2023-01-01,Data Analyst,EN,FT,65000,US,US,M,0,USD,65000.0,65000.0
2023-01-01,Data Analyst,MI,FT,70000,GB,GB,M,0,GBP,86128.0,70000.0
2023-01-01,Data Analyst,MI,FT,69570,US,US,M,0,USD,69570.0,69570.0
2023-01-01,Data Analyst,MI,FT,69000,US,US,M,0,USD,69000.0,69000.0
2023-01-01,Data Analyst,SE,FT,68550,US,US,M,0,USD,68550.0,68550.0
2023-01-01,Data Analyst,EN,FT,69525,US,US,M,100,USD,69525.0,69525.0
2023-01-01,BI Data Analyst,MI,FT,70000,EG,US,M,100,USD,70000.0,70000.0
2023-01-01,Data Analyst,EN,FT,70000,US,US,M,0,USD,70000.0,70000.0
2023-01-01,Data Analyst,EN,FT,70000,US,US,M,100,USD,70000.0,70000.0
2023-01-01,Data Analyst,SE,FT,66000,US,US,M,0,USD,66000.0,66000.0
2023-01-01,Data Analyst,MI,FT,65300,US,US,M,0,USD,65300.0,65300.0
2023-01-01,Data Analyst,SE,FT,65004,GB,GB,M,0,GBP,79981.0,65004.0
2023-01-01,Data Analyst,MI,FT,66000,US,US,M,100,USD,66000.0,66000.0
2023-01-01,Data Analyst,MI,FT,68000,US,US,M,0,USD,68000.0,68000.0
2023-01-01,Lead Data Analyst,MI,FT,68000,US,US,L,0,USD,68000.0,68000.0
2023-01-01,Data Analyst,MI,FT,67500,US,US,M,0,USD,67500.0,67500.0
2023-01-01,Data Analyst,EN,FT,67500,US,US,M,0,USD,67500.0,67500.0
2023-01-01,Data Analyst,SE,FT,67000,US,US,M,100,USD,67000.0,67000.0
2023-01-01,BI Data Analyst,SE,FT,67000,DE,DE,M,100,EUR,72338.0,67000.0
2023-01-01,Data Analyst,MI,FT,66691,US,US,M,100,USD,66691.0,66691.0
2023-01-01,Data Analyst,EN,FT,55000,GB,GB,M,0,GBP,67672.0,55000.0
2023-01-01,Data Analyst,MI,FT,55000,US,US,M,0,USD,55000.0,55000.0
2023-01-01,Data Analyst,MI,FT,55000,GB,GB,M,0,GBP,67672.0,55000.0
2023-01-01,Data Analyst,EN,FT,57920,US,US,M,100,USD,57920.0,57920.0
2023-01-01,Data Analyst,MI,FT,57800,US,US,M,100,USD,57800.0,57800.0
2023-01-01,Product Data Analyst,SE,FT,57000,GE,RU,L,100,USD,57000.0,57000.0
2023-01-01,Financial Data Analyst,EN,FT,56500,US,US,L,50,USD,56500.0,56500.0
2023-01-01,Data Analyst,EN,FT,56100,US,US,M,100,USD,56100.0,56100.0
2023-01-01,Data Analyst,MI,FT,58161,US,US,M,0,USD,58161.0,58161.0
2023-01-01,Data Analyst,EN,FT,54000,US,US,M,0,USD,54000.0,54000.0
2023-01-01,Data Analyst,MI,FT,54000,US,US,M,100,USD,54000.0,54000.0
2023-01-01,Data Analyst,EN,FT,53800,US,US,M,0,USD,53800.0,53800.0
2023-01-01,Data Analyst,MI,FT,53000,US,US,M,100,USD,53000.0,53000.0
2023-01-01,Data Analyst,EN,FT,55000,US,US,M,0,USD,55000.0,55000.0
2023-01-01,Data Analyst,SE,FT,55000,US,US,M,100,USD,55000.0,55000.0
2023-01-01,Data Analyst,MI,FT,55000,US,US,M,100,USD,55000.0,55000.0
2023-01-01,Data Analyst,SE,FT,55000,GB,GB,M,0,GBP,67672.0,55000.0
2023-01-01,Data Analyst,EN,FT,55000,CA,CA,L,0,CAD,40747.0,55000.0
2023-01-01,Data Analyst,MI,FT,55000,DE,DE,L,50,EUR,59382.0,55000.0
2023-01-01,Data Analyst,EX,FT,55000,US,US,M,100,USD,55000.0,55000.0
